id,group,cx,cy,cz,dx,dy,dz,delta,shade_start,shade_end
21,21,0.11364763239956996,-0.0036350321860321166,-0.04115659864312307,-0.7875941974677932,0.5654157940250856,0.2449497090874877,0.06,0.21617648141475498,0.936176481414755
22,22,0.0322618037643935,-0.06131804965202113,-0.12337480663264344,-0.9361595188309397,0.13829867810442573,0.32323185322116965,0.06,0.19396658469487132,0.9139665846948712
23,23,-0.10049351432189353,0.04492839160199093,0.07235819963818312,0.5401903339029159,0.8077346720030857,0.23613365453048804,0.06,0.14483444575198096,0.864834445751981
24,24,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,1.0
25,24,0.0090098187801853,0.005568808523731485,-0.4130676537311032,-0.1840398233315835,-0.11375173706367052,0.9763144399951673,0.06,0.265444492145884,0.985444492145884
26,25,-0.002468220329572126,-0.03020643292523972,-0.2295519423194085,0.05672649125960518,0.6942269021884699,0.7175173262487636,0.06,0.2066775156060094,0.9266775156060094
27,25,-0.10545002601414023,-0.03652246896496489,0.2396052581540002,0.8702835850917892,0.3014215020010624,0.3895530254679153,0.06,0.03535838422544254,0.7553583842254425
28,26,0.06028352657198941,-0.012738182193858914,0.28314329999293286,0.9615362339681869,-0.20317696111651876,0.18484369948075852,0.06,0.07522105625154976,0.7952210562515497
29,26,0.05198226546631814,0.031747089459783016,-0.14699815550857984,-0.546351347809219,-0.3336727431899062,0.768220479549441,0.06,0.19871071076710345,0.9187107107671034
30,27,0.055252859124185205,-0.08176809798640856,-0.2349910222431936,0.350577623706292,-0.5188159661137007,0.7796956605381083,0.06,0.16739697038579532,0.8873969703857953
31,27,0.05293052274110618,-0.05411607964316823,-0.2550065793579671,0.38163638054017873,-0.39018440957137535,0.8379199243219062,0.06,0.1494549350008291,0.869454935000829
32,28,0.011086427200149452,-0.06750529585158846,0.11713725538938402,0.13177701327583416,-0.8023907167769944,0.5820686870139999,0.06,0.23477561074066244,0.9547756107406624
33,28,-0.01664903971105071,-0.005602304793750923,0.21445493251563333,-0.11768434585448144,-0.03960009624413315,0.9922611688049967,0.06,0.1317682034751379,0.8517682034751379
34,29,0.013746831039204644,-0.031322892391100005,-0.2052652694147826,-0.3179753744199169,0.724523958108606,0.6115199877266094,0.06,0.0368287056552693,0.7568287056552693
35,29,-0.007985211970300232,-0.013023098150300538,-0.453026111180514,0.16836516857940645,0.27458708969238127,0.9467075050845939,0.06,0.1819409663960914,0.9019409663960913
36,30,-0.010222601140341606,-0.022503298440042063,-0.09828582335411543,-0.3258352415406302,-0.16476925864962938,0.9309578329732292,0.06,0.04483954228099508,0.764839542280995
37,31,0.0747936353842148,-0.15592137718970595,0.27294074264489837,-0.1811230418025703,0.32488657517975256,-0.9282473576564361,0.06,0.13464827229977572,0.8546482722997757
38,32,-0.04824307342568178,-0.10484861616569023,0.06955177847071661,-0.3225591400004503,0.2159017605288925,-0.9215975428584294,0.06,0.008095406265203288,0.7280954062652033
39,33,0.0502448543375262,0.22539416757084216,0.27224681125477934,0.004417261805037787,0.33034720178029925,0.9438491479437124,0.06,0.21947915534929416,0.9394791553492942
40,30,0.1332998495290674,0.25263248777362923,0.07280401240306957,-0.32430356679505107,-0.19045655443522236,0.9265816194144318,0.06,0.27808678808084736,0.9980867880808473
41,31,0.3477763980593362,0.05248885666605906,0.2922220588207498,0.0936149629963042,0.32889968311193124,-0.9397133803198037,0.06,0.24355293368090333,0.9635529336809033
42,32,-0.16613041930176056,0.3373668630224331,-0.13206246436159103,-0.3279379212625333,-0.12063329398837512,-0.9369654893215239,0.06,0.16826380874607463,0.8882638087460746
43,33,-0.283732281998,0.06743694662747116,-0.3511071567227215,0.21872570668142946,0.32235144606600347,0.9210041316171529,0.06,0.06985801503439926,0.7898580150343992
44,30,-0.0019260445247700105,0.11409283506256668,-0.2067392745174617,-0.32590867028967246,-0.16343311962189427,0.9311676293990644,0.06,0.10843995328248872,0.8284399532824887
45,31,-0.04043986999848736,0.16022579017759103,0.09437975571998213,0.04610980808605902,0.3299990564686351,-0.9428544470532434,0.06,0.26892601433421903,0.988926014334219
46,32,-0.13155439299882857,-0.19522715813164634,0.003646174731625075,-0.327821826631262,0.12349086084338028,-0.9366337903750344,0.06,0.08209984006481272,0.8020998400648127
47,33,0.3029663941927221,-0.10774120824799864,-0.10014399430380086,0.11525909820139896,0.3281487918049482,0.9375679765855663,0.06,0.15940782123373504,0.8794078212337351
